"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","1,144.25","1,150.72","1,153.12","1,144.19","2.23B","-0.29%"
"Dec 30, 2019","1,147.54","1,140.57","1,149.62","1,140.57","2.65B","0.94%"
"Dec 27, 2019","1,136.84","1,140.36","1,142.91","1,133.81","2.62B","0.03%"
"Dec 26, 2019","1,136.53","1,135.14","1,145.35","1,131.66","2.10B","0.29%"
"Dec 25, 2019","1,133.29","1,133.97","1,135.85","1,130.63","1.98B","0.16%"
"Dec 24, 2019","1,131.53","1,128.40","1,133.95","1,127.83","2.65B","0.87%"
"Dec 23, 2019","1,121.75","1,114.79","1,121.78","1,112.66","2.91B","0.90%"
"Dec 20, 2019","1,111.77","1,110.41","1,116.36","1,108.59","2.17B","0.52%"
"Dec 19, 2019","1,105.99","1,108.53","1,112.74","1,104.86","1.62B","0.02%"
"Dec 18, 2019","1,105.75","1,105.63","1,108.48","1,101.06","2.41B","-0.45%"
"Dec 17, 2019","1,110.74","1,114.95","1,119.56","1,109.37","2.52B","-0.05%"
"Dec 16, 2019","1,111.26","1,106.74","1,114.43","1,102.34","2.17B","0.59%"
"Dec 13, 2019","1,104.77","1,110.11","1,119.10","1,100.18","2.56B","0.33%"
"Dec 12, 2019","1,101.15","1,085.56","1,101.15","1,085.56","2.05B","2.03%"
"Dec 11, 2019","1,079.22","1,080.31","1,082.18","1,074.65","1.62B","-0.08%"
"Dec 10, 2019","1,080.11","1,089.12","1,093.78","1,076.18","2.07B","-0.71%"
"Dec 09, 2019","1,087.86","1,088.96","1,091.25","1,081.39","2.32B","-0.08%"
"Dec 06, 2019","1,088.69","1,090.09","1,093.15","1,083.52","2.16B","0.19%"
"Dec 05, 2019","1,086.59","1,082.60","1,090.32","1,081.51","2.24B","0.89%"
"Dec 04, 2019","1,077.01","1,072.54","1,077.95","1,067.02","1.93B","0.85%"
"Dec 03, 2019","1,067.90","1,078.73","1,087.77","1,067.90","2.56B","-1.12%"
"Dec 02, 2019","1,080.04","1,073.50","1,082.10","1,073.18","2.19B","1.03%"
"Nov 29, 2019","1,069.04","1,073.00","1,076.70","1,065.64","1.77B","-0.21%"
"Nov 28, 2019","1,071.26","1,060.85","1,072.13","1,060.16","1.44B","1.21%"
"Nov 27, 2019","1,058.44","1,059.36","1,064.31","1,053.95","1.75B","-0.13%"
"Nov 26, 2019","1,059.83","1,055.68","1,061.62","1,047.18","2.02B","0.57%"
